"line","mateA","mateB","genotype","RDH","n_bott","control","ploidy","petite"
"47","47",NA,"haploid","del",0,TRUE,"haploid",TRUE
"12","12",NA,"haploid","wt",100,FALSE,"haploid",TRUE
"62","62",NA,"haploid","wt",100,FALSE,"haploid",FALSE
"115x20","115",20,"heterozygote","wt",0,TRUE,"diploid",FALSE
"19x67","19",67,"heterozygote","wt",0,TRUE,"diploid",TRUE
"119","119",NA,"haploid","wt",0,TRUE,"haploid",FALSE
"26x46","26",46,"heterozygote","del",100,FALSE,"diploid",FALSE
"22","22",NA,"haploid","del",0,TRUE,"haploid",FALSE
"117x117","117",117,"homozygote","del",0,TRUE,"diploid",TRUE
"99x46","99",46,"heterozygote","del",100,FALSE,"diploid",FALSE
"105x105","105",105,"homozygote","wt",100,FALSE,"diploid",TRUE
"127","127",NA,"haploid","wt",87,FALSE,"haploid",TRUE
"120","120",NA,"haploid","del",0,TRUE,"haploid",FALSE
"99","99",NA,"haploid","del",100,FALSE,"haploid",TRUE
"42","42",NA,"haploid","wt",100,FALSE,"haploid",TRUE
"60x60","60",60,"homozygote","del",100,FALSE,"diploid",FALSE
"40x40","40",40,"homozygote","del",100,FALSE,"diploid",FALSE
"135x46","135",46,"heterozygote","del",0,TRUE,"diploid",FALSE
"133x67","133",67,"heterozygote","wt",0,TRUE,"diploid",TRUE
"20x67","20",67,"heterozygote","wt",0,TRUE,"diploid",TRUE
"49x46","49",46,"heterozygote","del",100,FALSE,"diploid",TRUE
"6x96","6",96,"heterozygote","del",100,FALSE,"diploid",FALSE
"61x135","61",135,"heterozygote","del",100,FALSE,"diploid",TRUE
"96x46","96",46,"heterozygote","del",0,TRUE,"diploid",FALSE
"36","36",NA,"haploid","wt",100,FALSE,"haploid",TRUE
"71x71","71",71,"homozygote","del",0,TRUE,"diploid",FALSE
"48x135","48",135,"heterozygote","del",0,TRUE,"diploid",FALSE
"129x93","129",93,"heterozygote","wt",74,FALSE,"diploid",TRUE
"75","75",NA,"haploid","wt",100,FALSE,"haploid",TRUE
"31x46","31",46,"heterozygote","del",100,FALSE,"diploid",FALSE
"30","30",NA,"haploid","wt",100,FALSE,"haploid",FALSE
"57x57","57",57,"homozygote","del",100,FALSE,"diploid",TRUE
"55x55","55",55,"homozygote","wt",100,FALSE,"diploid",TRUE
"90x135","90",135,"heterozygote","del",59,FALSE,"diploid",FALSE
"101","101",NA,"haploid","wt",100,FALSE,"haploid",FALSE
"40","40",NA,"haploid","del",100,FALSE,"haploid",TRUE
"134","134",NA,"haploid","del",0,TRUE,"haploid",TRUE
"45x45","45",45,"homozygote","wt",0,TRUE,"diploid",TRUE
"32","32",NA,"haploid","del",100,FALSE,"haploid",TRUE
