"day","machine","Well.ID","line","pipettor","note","file","mateA","mateB","genotype","RDH","n_bott","growth","Init_OD","OD_at_maxslope","time_at_maxslope","control","ploidy","plate","row","col"
1,2,"20","3x3","linnea","","day1.csv","3","3","homozygote","del",100,0.270886152092809,0.254166666666667,0.631,11.5,FALSE,"diploid","2",10,1
1,2,"21","120x120","linnea","","day1.csv","120","120","homozygote","del",0,0.228433576215936,0.256,0.654,13,TRUE,"diploid","2",1,2
1,2,"22","8","linnea","","day1.csv","8",NA,"haploid","wt",100,0.233252801895567,0.260833333333333,0.755,13,FALSE,"haploid","2",2,2
1,2,"23","blank","linnea","","day1.csv","blank",NA,"haploid",NA,NA,0.0248755329557149,0.2465,0.247,13.5,NA,"haploid","2",3,2
1,2,"24","23x23","linnea","","day1.csv","23","23","homozygote","wt",0,0.23313362774724,0.260833333333333,0.633,13,TRUE,"diploid","2",4,2
1,2,"25","7x7","linnea","","day1.csv","7","7","homozygote","del",100,0.288118790159331,0.259166666666667,0.609,11.5,FALSE,"diploid","2",5,2
1,2,"26","8x93","linnea","","day1.csv","8","93","heterozygote","wt",100,0.22768261723205,0.257166666666667,0.649,13,FALSE,"diploid","2",6,2
1,2,"27","114x93","linnea","","day1.csv","114","93","heterozygote","wt",87,0.268650186419084,0.2555,0.612,9.5,FALSE,"diploid","2",7,2
1,2,"28","15x67","linnea","","day1.csv","15","67","heterozygote","wt",100,0.254579391201215,0.256333333333333,0.625,10,FALSE,"diploid","2",8,2
1,2,"29","27","linnea","","day1.csv","27",NA,"haploid","wt",100,0.24084411258396,0.260333333333333,0.669,12.5,FALSE,"haploid","2",9,2
1,2,"30","81x67","linnea","","day1.csv","81","67","heterozygote","wt",100,0.147056624510977,0.251666666666667,0.535,14.5,FALSE,"diploid","2",10,2
1,2,"31","17","linnea","","day1.csv","17",NA,"haploid","del",100,0.258576020334411,0.264166666666667,0.625,9.5,FALSE,"haploid","2",1,3
1,2,"32","108","linnea","","day1.csv","108",NA,"haploid","wt",87,0.238783082104343,0.259166666666667,0.667,12.5,FALSE,"haploid","2",2,3
1,2,"33","103","linnea","","day1.csv","103",NA,"haploid","del",100,0.255179548236395,0.262,0.731,13,FALSE,"haploid","2",3,3
1,2,"34","8","linnea","","day1.csv","8",NA,"haploid","wt",100,0.252873493336581,0.262333333333333,0.742,13,FALSE,"haploid","2",4,3
1,2,"35","76x96","linnea","","day1.csv","76","96","heterozygote","del",100,0.258112449408321,0.2505,0.633,11.5,FALSE,"diploid","2",5,3
1,2,"36","79","linnea","","day1.csv","79",NA,"haploid","del",100,0.229937014514792,0.269833333333333,0.67,13.5,FALSE,"haploid","2",6,3
1,2,"37","59","linnea","","day1.csv","59",NA,"haploid","wt",100,0.249165096743997,0.264,0.735,13.5,FALSE,"haploid","2",7,3
1,2,"38","blank","linnea","","day1.csv","blank",NA,"haploid",NA,NA,0.019707984888484,0.245166666666667,0.245,15,NA,"haploid","2",8,3
1,2,"39","6","linnea","","day1.csv","6",NA,"haploid","del",100,0.27527285658413,0.2635,0.678,10,FALSE,"haploid","2",9,3
1,2,"40","78","linnea","","day1.csv","78",NA,"haploid","wt",100,0.20585753701674,0.2545,0.649,13.5,FALSE,"haploid","2",10,3
1,2,"41","82","linnea","","day1.csv","82",NA,"haploid","wt",100,0.263494358881955,0.259,0.639,10,FALSE,"haploid","2",1,4
1,2,"42","5x20","linnea","","day1.csv","5","20","heterozygote","wt",100,0.22006780217021,0.26,0.766,13,FALSE,"diploid","2",2,4
1,2,"43","122x122","linnea","","day1.csv","122","122","homozygote","wt",87,0.225571656925494,0.262666666666667,0.66,13.5,FALSE,"diploid","2",3,4
1,2,"44","118x93","linnea","","day1.csv","118","93","heterozygote","wt",0,0.260932377832424,0.256666666666667,0.596,9.5,TRUE,"diploid","2",4,4
1,2,"45","7x7","linnea","","day1.csv","7","7","homozygote","del",100,0.291055044293609,0.2595,0.595,11,FALSE,"diploid","2",5,4
1,2,"46","16x16","linnea","","day1.csv","16","16","homozygote","del",100,0.226837411709813,0.255,0.64,11,FALSE,"diploid","2",6,4
1,2,"47","26x26","linnea","","day1.csv","26","26","homozygote","del",100,0.230957090163741,0.259333333333333,0.631,13.5,FALSE,"diploid","2",7,4
1,2,"48","62x67","linnea","","day1.csv","62","67","heterozygote","wt",100,0.233366112059596,0.260833333333333,0.661,13.5,FALSE,"diploid","2",8,4
1,2,"49","12x12","linnea","","day1.csv","12","12","homozygote","wt",100,0.225413451648837,0.260166666666667,0.625,12.5,FALSE,"diploid","2",9,4
1,2,"50","61x61","linnea","","day1.csv","61","61","homozygote","del",100,0.204977118076211,0.258166666666667,0.643,13.5,FALSE,"diploid","2",10,4
1,2,"51","9x46","linnea","","day1.csv","9","46","heterozygote","del",100,0.25447782753818,0.255833333333333,0.632,10,FALSE,"diploid","2",1,5
1,2,"52","27x27","linnea","","day1.csv","27","27","homozygote","wt",100,0.224054364933446,0.257,0.606,13.5,FALSE,"diploid","2",2,5
1,2,"53","55x67","linnea","","day1.csv","55","67","heterozygote","wt",100,0.254083067963151,0.257833333333333,0.622,9.5,FALSE,"diploid","2",3,5
1,2,"54","88x93","linnea","","day1.csv","88","93","heterozygote","wt",100,0.226801577887792,0.2575,0.629,13.5,FALSE,"diploid","2",4,5
1,2,"55","89x89","linnea","","day1.csv","89","89","homozygote","del",100,0.259676396613395,0.252666666666667,0.636,11,FALSE,"diploid","2",5,5
1,2,"56","102x67","linnea","","day1.csv","102","67","heterozygote","wt",100,0.221604361930194,0.258166666666667,0.726,13,FALSE,"diploid","2",6,5
1,2,"57","56x56","linnea","","day1.csv","56","56","homozygote","wt",100,0.247278242149207,0.260666666666667,0.605,13,FALSE,"diploid","2",7,5
1,2,"58","107x107","linnea","","day1.csv","107","107","homozygote","del",100,0.260669147050807,0.254666666666667,0.652,11,FALSE,"diploid","2",8,5
1,2,"59","83x46","linnea","","day1.csv","83","46","heterozygote","del",100,0.263696542390779,0.2575,0.573,9.5,FALSE,"diploid","2",9,5
1,2,"60","86x46","linnea","","day1.csv","86","46","heterozygote","del",100,0.22736946934665,0.256833333333333,0.71,13,FALSE,"diploid","2",10,5
1,2,"61","47x47","linnea","","day1.csv","47","47","homozygote","del",0,0.253982028192157,0.2575,0.587,9.5,TRUE,"diploid","2",1,6
1,2,"62","16x46","linnea","","day1.csv","16","46","heterozygote","del",100,0.217399602014945,0.2565,0.63,13.5,FALSE,"diploid","2",2,6
1,2,"63","124x20","linnea","","day1.csv","124","20","heterozygote","wt",87,0.218602457000006,0.259333333333333,0.677,13,FALSE,"diploid","2",3,6
1,2,"64","17x17","linnea","","day1.csv","17","17","homozygote","del",100,0.232338114913855,0.256333333333333,0.638,13,FALSE,"diploid","2",4,6
1,2,"65","42x42","linnea","","day1.csv","42","42","homozygote","wt",100,0.235175823234957,0.259166666666667,0.666,13,FALSE,"diploid","2",5,6
1,2,"66","115","linnea","","day1.csv","115",NA,"haploid","wt",0,0.260070924351652,0.266166666666667,0.607,9.5,TRUE,"haploid","2",6,6
1,2,"67","94","linnea","","day1.csv","94",NA,"haploid","del",0,0.244692308243311,0.26,0.805,13,TRUE,"haploid","2",7,6
1,2,"68","14x14","linnea","","day1.csv","14","14","homozygote","del",100,0.259568130600574,0.2525,0.589,10,FALSE,"diploid","2",8,6
1,2,"69","44x44","linnea","","day1.csv","44","44","homozygote","wt",0,0.247167419945016,0.256333333333333,0.675,10.5,TRUE,"diploid","2",9,6
1,2,"70","3","linnea","","day1.csv","3",NA,"haploid","del",100,0.259217895451358,0.261833333333333,0.685,13,FALSE,"haploid","2",10,6
1,2,"71","130x130","linnea","","day1.csv","130","130","homozygote","del",88,0.217520179945918,0.263333333333333,0.712,13,FALSE,"diploid","2",1,7
