Set,FACS_well,Sample,plate,OD,note,,,,,,,,,,,,,,
3,F1,32,2,na,,,,,,,,,,,,,,,
3,F2,33,2,na,,,,,,,,,,,,,,,
3,F3,34,2,na,,,,,,,,,,,,,,,
3,F4,35,2,na,,,,,,,,,,,,,,,
3,F5,36,2,na,,,,,,,,,,,,,,,
3,F6,37,2,na,,,,,,,,,,,,,,,
3,F7,38,2,na,,,,,,,,,,,,,,,
3,F8,39,2,na,,,,,,,,,,,,,,,
3,F9,40,2,na,,,,,,,,,,,,,,,
3,F10,41,2,na,,,,,,,,,,,,,,,
3,F11,42,2,na,,,,,,,,,,,,,,,
3,F12,43,2,na,,,,,,,,,,,,,,,
3,G1,44,2,na,,,,,,,,,,,,,,,
3,G2,45,2,na,,,,,,,,,,,,,,,
3,G3,46,2,na,,,,,,,,,,,,,,,
3,G4,47,2,na,,,,,,,,,,,,,,,
3,G5,48,2,na,,,,,,,,,,,,,,,
3,G6,49,2,na,,,,,,,,,,,,,,,
3,G7,50,2,na,,,,,,,,,,,,,,,
3,G8,51,2,na,,,,,,,,,,,,,,,
3,G9,53,2,na,,,,,,,,,,,,,,,
3,G10,54,2,na,,,,,,,,,,,,,,,
3,G11,55,2,na,,,,,,,,,,,,,,,
3,G12,56,2,na,,,,,,,,,,,,,,,
3,H1,57,2,na,,,,,,,,,,,,,,,
3,H2,58,2,na,,,,,,,,,,,,,,,
3,H3,59,2,na,,,,,,,,,,,,,,,
3,H4,60,2,na,,,,,,,,,,,,,,,
3,H5,61,2,na,,,,,,,,,,,,,,,
3,H6,62,2,na,,,,,,,,,,,,,,,
3,H7,63,2,na,,,,,,,,,,,,,,,
3,H8,64,2,na,,,,,,,,,,,,,,,
3,H9,65,2,na,,,,,,,,,,,,,,,
3,H10,66,2,na,,,,,,,,,,,,,,,
3,H11,67,2,na,,,,,,,,,,,,,,,
3,H12,68,2,na,,,,,,,,,,,,,,,
3,A1,69,3,na,,,,,,,,,,,,,,,
3,A2,70,3,na,,,,,,,,,,,,,,,
3,A3,71,3,na,,,,,,,,,,,,,,,
3,A4,72,3,na,,,,,,,,,,,,,,,
3,A5,73,3,na,,,,,,,,,,,,,,,
3,A6,74,3,na,,,,,,,,,,,,,,,
3,A7,75,3,na,,,,,,,,,,,,,,,
3,A8,76,3,na,,,,,,,,,,,,,,,
3,A9,77,3,na,,,,,,,,,,,,,,,
3,A10,78,3,na,,,,,,,,,,,,,,,
3,A11,79,3,na,,,,,,,,,,,,,,,
3,A12,80,3,na,,,,,,,,,,,,,,,
3,B1,81,3,na,,,,,,,,,,,,,,,
3,B2,82,3,na,,,,,,,,,,,,,,,
3,B3,83,3,na,,,,,,,,,,,,,,,
3,B4,84,3,na,,,,,,,,,,,,,,,
3,B5,85,3,na,,,,,,,,,,,,,,,
3,B6,86,3,na,,,,,,,,,,,,,,,
3,B7,87,3,na,,,,,,,,,,,,,,,
3,B8,88,3,na,,,,,,,,,,,,,,,
3,B9,89,3,na,,,,,,,,,,,,,,,
3,B10,90,3,na,,,,,,,,,,,,,,,
3,B11,91,3,na,,,,,,,,,,,,,,,
3,B12,92,3,na,,,,,,,,,,,,,,,
3,C1,93,3,na,,,,,,,,,,,,,,,
3,C2,94,3,na,,,,,,,,,,,,,,,
3,C3,95,3,na,,,,,,,,,,,,,,,
3,C4,96,3,na,,,,,,,,,,,,,,,
3,C5,97,3,na,,,,,,,,,,,,,,,
3,C6,98,3,na,,,,,,,,,,,,,,,
3,C7,99,3,na,,,,,,,,,,,,,,,
3,C8,100,3,na,,,,,,,,,,,,,,,
3,C9,101,3,na,,,,,,,,,,,,,,,
3,C10,102,3,na,,,,,,,,,,,,,,,
3,C11,103,3,na,,,,,,,,,,,,,,,
3,C12,104,3,na,,,,,,,,,,,,,,,
3,D1,105,3,na,,,,,,,,,,,,,,,
3,D2,106,3,na,,,,,,,,,,,,,,,
3,D3,107,3,na,,,,,,,,,,,,,,,
3,D4,108,3,na,,,,,,,,,,,,,,,
3,D5,109,3,na,,,,,,,,,,,,,,,
3,D6,110,3,na,,,,,,,,,,,,,,,
3,D7,111,3,na,,,,,,,,,,,,,,,
3,D8,112,3,na,,,,,,,,,,,,,,,
3,D9,113,3,na,,,,,,,,,,,,,,,
3,D10,114,3,na,,,,,,,,,,,,,,,
3,D11,115,3,na,,,,,,,,,,,,,,,
