"sample","mateA","mateB","type","RDH","n_bott","petite","group"
"129x136","129",136,"heterozygote","wt",74,FALSE,"MA"
"104","104",NA,"haploid","wt",100,FALSE,"MA"
"92x92","92",92,"homozygote","wt",0,TRUE,"control"
"2","2",NA,"haploid","wt",100,TRUE,"MA"
"53x134","53",134,"heterozygote","del",100,FALSE,"MA"
"62","62",NA,"haploid","wt",100,FALSE,"MA"
"57x48","57",48,"heterozygote","del",100,FALSE,"MA"
"22x22","22",22,"homozygote","del",0,TRUE,"control"
"23x23","23",23,"homozygote","wt",0,TRUE,"control"
"123x92","123",92,"heterozygote","wt",87,FALSE,"MA"
"19","19",NA,"haploid","wt",0,FALSE,"control"
"12x12","12",12,"homozygote","wt",100,TRUE,"MA"
"130x130","130",130,"homozygote","del",88,FALSE,"MA"
"37","37",NA,"haploid","del",100,FALSE,"MA"
"102x102","102",102,"homozygote","wt",100,TRUE,"MA"
"118","118",NA,"haploid","wt",0,FALSE,"control"
"34x34","34",34,"homozygote","del",100,TRUE,"MA"
"87","87",NA,"haploid","del",100,FALSE,"MA"
"108x108","108",108,"homozygote","wt",87,TRUE,"MA"
"29","29",NA,"haploid","del",100,FALSE,"MA"
"82x82","82",82,"homozygote","wt",100,TRUE,"MA"
"113","113",NA,"haploid","wt",87,FALSE,"MA"
"121x136","121",136,"heterozygote","wt",87,FALSE,"MA"
"93","93",NA,"haploid","wt",0,FALSE,"control"
"129","129",NA,"haploid","wt",74,FALSE,"MA"
"54x54","54",54,"homozygote","del",100,FALSE,"MA"
"23","23",NA,"haploid","wt",0,FALSE,"control"
"41","41",NA,"haploid","del",100,FALSE,"MA"
"104x92","104",92,"heterozygote","wt",100,TRUE,"MA"
"102","102",NA,"haploid","wt",100,FALSE,"MA"
"101x101","101",101,"homozygote","wt",100,TRUE,"MA"
"113x67","113",67,"heterozygote","wt",87,FALSE,"MA"
"9","9",NA,"haploid","del",100,FALSE,"MA"
"92x136","92",136,"heterozygote","wt",0,TRUE,"control"
"111","111",NA,"haploid","wt",87,FALSE,"MA"
"133","133",NA,"haploid","wt",0,FALSE,"control"
"15x67","15",67,"heterozygote","wt",100,TRUE,"MA"
